Index1	Index2	SampleName
F_1	R_13	Nor.27_1X_PCV_1x_ProG_A
F_1	R_14	Nor.28_1X_PCV_1x_ProG_A
F_1	R_15	Nor.29_1X_PCV_1x_ProG_A
F_1	R_16	Nor.30_1X_PCV_1x_ProG_A
F_1	R_17	Nor.31_1X_PCV_1x_ProG_A
F_1	R_18	Nor.32_1X_PCV_1x_ProG_A
F_1	R_19	Nor.33_1X_PCV_1x_ProG_A
F_1	R_20	Nor.34_1X_PCV_1x_ProG_A
F_2	R_13	Nor.27_1X_PCV_1x_ProG_B
F_2	R_14	Nor.28_1X_PCV_1x_ProG_B
F_2	R_15	Nor.29_1X_PCV_1x_ProG_B
F_2	R_16	Nor.30_1X_PCV_1x_ProG_B
F_2	R_17	Nor.31_1X_PCV_1x_ProG_B
F_2	R_18	Nor.32_1X_PCV_1x_ProG_B
F_2	R_19	Nor.33_1X_PCV_1x_ProG_B
F_2	R_20	Nor.34_1X_PCV_1x_ProG_B
F_5	R_13	Nor.35_1X_PCV_1x_ProG_A
F_5	R_14	Nor.36_1X_PCV_1x_ProG_A
F_5	R_15	Nor.37_1X_PCV_1x_ProG_A
F_5	R_16	Nor.38_1X_PCV_1x_ProG_A
F_5	R_17	Nor.39_1X_PCV_1x_ProG_A
F_5	R_18	Nor.40_1X_PCV_1x_ProG_A
F_5	R_19	Nor.41_1X_PCV_1x_ProG_A
F_5	R_20	Nor.42_1X_PCV_1x_ProG_A
F_6	R_13	Nor.35_1X_PCV_1x_ProG_B
F_6	R_14	Nor.36_1X_PCV_1x_ProG_B
F_6	R_15	Nor.37_1X_PCV_1x_ProG_B
F_6	R_16	Nor.38_1X_PCV_1x_ProG_B
F_6	R_17	Nor.39_1X_PCV_1x_ProG_B
F_6	R_18	Nor.40_1X_PCV_1x_ProG_B
F_6	R_19	Nor.41_1X_PCV_1x_ProG_B
F_6	R_20	Nor.42_1X_PCV_1x_ProG_B
F_9	R_13	BB.8_1X_PCV_1x_ProG_A
F_9	R_14	BB.9_1X_PCV_1x_ProG_A
F_9	R_15	BB.10_1X_PCV_1x_ProG_A
F_9	R_16	BB.11_1X_PCV_1x_ProG_A
F_9	R_17	BB.12_1X_PCV_1x_ProG_A
F_9	R_18	BB.13_1X_PCV_1x_ProG_A
F_9	R_19	BB.14_1X_PCV_1x_ProG_A
F_9	R_20	Sblk_1X_PCV_1X_ProG_E
F_10	R_13	BB.8_1X_PCV_1x_ProG_B
F_10	R_14	BB.9_1X_PCV_1x_ProG_B
F_10	R_15	BB.10_1X_PCV_1x_ProG_B
F_10	R_16	BB.11_1X_PCV_1x_ProG_B
F_10	R_17	BB.12_1X_PCV_1x_ProG_B
F_10	R_18	BB.13_1X_PCV_1x_ProG_B
F_10	R_19	BB.14_1X_PCV_1x_ProG_B
F_10	R_20	JA.s_1X_PCV_1X_ProG_E
F_13	R_13	BB.15_1X_PCV_1x_ProG_A
F_13	R_14	BB.16_1X_PCV_1x_ProG_A
F_13	R_15	BB.17_1X_PCV_1x_ProG_A
F_13	R_16	BB.18_1X_PCV_1x_ProG_A
F_13	R_17	BB.19_1X_PCV_1x_ProG_A
F_13	R_18	BB.20_1X_PCV_1x_ProG_A
F_13	R_19	BB.1_1X_PCV_1x_ProG_A
F_13	R_20	BB.2_1X_PCV_1x_ProG_A
F_14	R_13	BB.15_1X_PCV_1x_ProG_B
F_14	R_14	BB.16_1X_PCV_1x_ProG_B
F_14	R_15	BB.17_1X_PCV_1x_ProG_B
F_14	R_16	BB.18_1X_PCV_1x_ProG_B
F_14	R_17	BB.19_1X_PCV_1x_ProG_B
F_14	R_18	BB.20_1X_PCV_1x_ProG_B
F_14	R_19	BB.1_1X_PCV_1x_ProG_B
F_14	R_20	BB.2_1X_PCV_1x_ProG_B
F_17	R_13	Nor.43_1X_PCV_1x_ProG_A
F_17	R_14	Nor.44_1X_PCV_1x_ProG_A
F_17	R_15	HCV.Q_1X_PCV_1x_ProG_A
F_17	R_16	V1_1X_PCV_1x_ProG_A
F_17	R_17	V2_1X_PCV_1x_ProG_A
F_17	R_18	V4_1X_PCV_1x_ProG_A
F_17	R_19	V7_1X_PCV_1x_ProG_A
F_17	R_20	V8_1X_PCV_1x_ProG_A
F_18	R_13	Nor.43_1X_PCV_1x_ProG_B
F_18	R_14	Nor.44_1X_PCV_1x_ProG_B
F_18	R_15	HCV.Q_1X_PCV_1x_ProG_B
F_18	R_16	V1_1X_PCV_1x_ProG_B
F_18	R_17	V2_1X_PCV_1x_ProG_B
F_18	R_18	V4_1X_PCV_1x_ProG_B
F_18	R_19	V7_1X_PCV_1x_ProG_B
F_18	R_20	V8_1X_PCV_1x_ProG_B
F_19	R_16	P1_1X_PCV_1x_ProG_A
F_19	R_17	P2_1X_PCV_1x_ProG_A
F_19	R_18	P3_1X_PCV_1x_ProG_A
F_19	R_19	P4_1X_PCV_1x_ProG_A
F_19	R_20	HD6_1X_PCV_1x_ProG_A
F_20	R_16	P1_1X_PCV_1x_ProG_B
F_20	R_17	P2_1X_PCV_1x_ProG_B
F_20	R_18	P3_1X_PCV_1x_ProG_B
F_20	R_19	P4_1X_PCV_1x_ProG_B
F_20	R_20	HD6_1X_PCV_1x_ProG_B
F_21	R_13	HD7_1X_PCV_1x_ProG_A
F_21	R_14	HD8_1X_PCV_1x_ProG_A
F_21	R_15	HD9_1X_PCV_1x_ProG_A
F_21	R_16	BB3_1X_PCV_1x_ProG_A
F_21	R_17	V3_1X_PCV_1x_ProG_A
F_21	R_18	V5_1X_PCV_1x_ProG_A
F_21	R_19	V6_1X_PCV_1x_ProG_A
F_21	R_20	P5_1X_PCV_1x_ProG_A
F_22	R_13	HD7_1X_PCV_1x_ProG_B
F_22	R_14	HD8_1X_PCV_1x_ProG_B
F_22	R_15	HD9_1X_PCV_1x_ProG_B
F_22	R_16	BB3_1X_PCV_1x_ProG_B
F_22	R_17	V3_1X_PCV_1x_ProG_B
F_22	R_18	V5_1X_PCV_1x_ProG_B
F_22	R_19	V6_1X_PCV_1x_ProG_B
F_22	R_20	P5_1X_PCV_1x_ProG_B
F_23	R_13	BB4_1X_PCV_1x_ProG_A
F_23	R_14	BB5_1X_PCV_1x_ProG_A
F_23	R_15	BB6_1X_PCV_1x_ProG_A
F_23	R_16	BB7_1X_PCV_1x_ProG_A
F_24	R_13	BB4_1X_PCV_1x_ProG_B
F_24	R_14	BB5_1X_PCV_1x_ProG_B
F_24	R_15	BB6_1X_PCV_1x_ProG_B
F_24	R_16	BB7_1X_PCV_1x_ProG_B
F_24	R_17	Sblk_1X_PCV_1X_ProG_F
F_24	R_19	JA.s_1X_PCV_1X_ProG_F
F_1	R_2_RevComp	P60_5.1.20_CovA.1A
F_1	R_4_RevComp_A	P62_5.1.20_CovA.1B
F_1	R_5_RevComp_A	P62_5.5.20_CovA.1C
F_1	R_6_RevComp_A	P58_5.1.20_CovA.1D
F_1	R_8_RevComp_A	P58_5.8.20_CovA.1E
F_1	R_10_RevComp_A	P92_5.1.20_CovA.1F
F_1	R_11_RevComp_A	P92_5.8.20_CovA.1G
F_1	R_23_RevComp_A	P78_5.1.20_CovA.1H
F_2	R_2_RevComp	P78_5.9.20_CovA.2A
F_2	R_4_RevComp_A	P43_5.1.20_CovA.2B
F_2	R_5_RevComp_A	P43_5.7.20_CovA.2C
F_2	R_6_RevComp_A	P52_4.30.20_CovA.2D
F_2	R_8_RevComp_A	P52_5.7.20_CovA.2E
F_2	R_10_RevComp_A	P56_5.1.20_CovA.2F
F_2	R_11_RevComp_A	P56_5.8.20_CovA.2G
F_2	R_23_RevComp_A	P69_5.2.20_CovA.2H
F_3	R_2_RevComp	P69_5.9.20_CovA.3A
F_3	R_4_RevComp_A	P81_5.2.20_CovA.3B
F_3	R_5_RevComp_A	P81_5.9.20_CovA.3C
F_3	R_6_RevComp_A	P51_5.3.20_CovA.3D
F_3	R_8_RevComp_A	P51_5.10.20_CovA.3E
F_3	R_10_RevComp_A	P77_5.4.20_CovA.3F
F_3	R_11_RevComp_A	P77_5.11.20_CovA.3G
F_3	R_23_RevComp_A	P88_5.5.20_CovA.3H
F_4	R_2_RevComp	P88_5.12.20_CovA.4A
F_4	R_4_RevComp_A	P90_5.6.20_CovA.4B
F_4	R_5_RevComp_A	P90_5.13.20_CovA.4C
F_4	R_6_RevComp_A	P48_5.3.20_CovA.4D
F_4	R_8_RevComp_A	P48_5.10.20_CovA.4E
F_4	R_10_RevComp_A	P87_5.6.20_CovA.4F
F_4	R_11_RevComp_A	P87_5.13.20_CovA.4G
F_4	R_23_RevComp_A	P73_5.4.20_CovA.4H
F_5	R_2_RevComp	P73_5.11.20_CovA.5A
F_5	R_4_RevComp_A	P82_5.13.20_CovA.5B
F_5	R_5_RevComp_A	P47_5.8.20_CovA.5C
F_5	R_6_RevComp_A	P47_5.15.20_CovA.5D
F_5	R_8_RevComp_A	P61_5.7.20_CovA.5E
F_5	R_10_RevComp_A	P61_5.14.20_CovA.5F
F_5	R_11_RevComp_A	P44_5.9.20_CovA.5G
F_5	R_23_RevComp_A	P44_Unk_CovA.5H
F_6	R_2_RevComp	P57_5.13.20_CovA.6A
F_6	R_4_RevComp_A	P46_5.9.20_CovA.6B
F_6	R_5_RevComp_A	P46_5.17.20_CovA.6C
F_6	R_6_RevComp_A	P64_5.8.20_CovA.6D
F_6	R_8_RevComp_A	P64_5.15.20_CovA.6E
F_6	R_10_RevComp_A	P83_5.9.20_CovA.6F
F_6	R_11_RevComp_A	P83_5.16.20_CovA.6G
F_6	R_23_RevComp_A	P55_5.9.20_CovA.6H
F_7	R_2_RevComp	P55_5.16.20_CovA.7A
F_7	R_4_RevComp_A	P65_5.11.20_CovA.7B
F_7	R_5_RevComp_A	P65_5.18.20_CovA.7C
F_7	R_6_RevComp_A	P59_Unk_CovA.7D
F_7	R_8_RevComp_A	P53_5.9.20_CovA.7E
F_7	R_10_RevComp_A	P53_5.16.20_CovA.7F
F_7	R_11_RevComp_A	P86_5.14.20_CovA.7G
F_7	R_23_RevComp_A	P86_5.20.20_CovA.7H
F_8	R_2_RevComp	P63_5.16.20_CovA.8A
F_8	R_4_RevComp_A	P63_5.23.20_CovA.8B
F_8	R_5_RevComp_A	P84_5.15.20_CovA.8C
F_8	R_6_RevComp_A	P84_5.22.20_CovA.8D
F_8	R_8_RevComp_A	P93_5.19.20_CovA.8E
F_8	R_10_RevComp_A	P93_5.29.20_CovA.8F
F_8	R_11_RevComp_A	P91_5.21.20_CovA.8G
F_8	R_23_RevComp_A	P91_5.28.20_CovA.8H
F_9	R_2_RevComp	P74_5.11.20_CovA.9A
F_9	R_4_RevComp_A	P74_5.18.20_CovA.9B
F_9	R_5_RevComp_A	P45_5.16.20_CovA.9C
F_9	R_6_RevComp_A	P45_5.25.20_CovA.9D
F_9	R_8_RevComp_A	Superblock_PCV_A
F_9	R_10_RevComp_A	Superblock_PCV_B
F_9	R_11_RevComp_A	JA_Serum_PCV_A
F_9	R_23_RevComp_A	JA_Serum_PCV_B
F_10	R_2_RevComp	P03_2.25.20_8.2A
F_10	R_4_RevComp_A	P10_2.21.20_8.2D
F_10	R_5_RevComp_A	D09_3.8.20_8.5B
F_10	R_6_RevComp_A	D08_3.18.20_8.5C
F_10	R_8_RevComp_A	D06_3.19.20_8.5D
F_10	R_10_RevComp_A	D10_4.2.20_8.8H
F_10	R_11_RevComp_A	D06_5.1.20_8.9F
F_10	R_23_RevComp_A	D08_5.1.2.20_8.9G
F_11	R_2_RevComp	D11_4.28.20_8.10C
F_11	R_4_RevComp_A	D10_5.6.20_8.10D
F_11	R_5_RevComp_A	D13_5.1.20_8.10E
F_11	R_6_RevComp_A	D12_5.1.20_8.10F
F_11	R_8_RevComp_A	D14_5.1.20_8.10G
F_11	R_10_RevComp_A	D15_5.1.20_8.10H
F_11	R_11_RevComp_A	D16_5.1.20_8.11A
F_11	R_23_RevComp_A	D09_5.11.20_8.11C
F_12	R_2_RevComp	P10_5.19.20_8.11D
F_12	R_4_RevComp_A	P03_5.18.20_8.11E
F_12	R_5_RevComp_A	D17_5.24.20_8.12B
F_12	R_6_RevComp_A	D17_5.31.20_8.12C
F_12	R_8_RevComp_A	D18_5.25.20_8.12D
F_12	R_10_RevComp_A	D18_5.31.20_8.12E
F_12	R_11_RevComp_A	D19_5.24.20_8.12F
F_12	R_23_RevComp_A	D19_5.31.20_8.12G
F_13	R_2_RevComp	P40_11.2.2019_8.4A
F_13	R_4_RevComp_A	P40_11.26.2019_8.4B
F_13	R_5_RevComp_A	P40_1.31.2019_8.4C
F_13	R_6_RevComp_A	P40_2.25.20_8.4D
F_13	R_8_RevComp_A	P24_3.2.20_8.4E
F_13	R_10_RevComp_A	P25_2.26.20_8.4F
F_13	R_11_RevComp_A	P10_3.16.20_8.4G
F_13	R_23_RevComp_A	P18_3.15.20_8.4H
F_14	R_2_RevComp	P11_1.27.20_8.1E
F_14	R_4_RevComp_A	P24_1.31.20_8.1F
F_14	R_5_RevComp_A	P25_1.27.20_8.1G
F_14	R_6_RevComp_A	P18_2.21.20_8.1H
F_14	R_8_RevComp_A	Superblock_PCV_C
F_14	R_10_RevComp_A	Superblock_PCV_D
F_14	R_11_RevComp_A	JA_Serum_PCV_C
F_14	R_23_RevComp_A	JA_Serum_PCV_D